Ddate,Market,Product,Sales,Profit,Expenses
8/1/15,West,Lemon,70,21,22
12/1/15,Central,Mint,92,24,28
9/1/15,East,Decaf Irish Cream,185,39,55
6/1/15,Central,Lemon,573,334,116
5/1/14,East,Darjeeling,160,28,46
5/1/14,Central,Decaf Irish Cream,124,31,35
8/1/14,East,Lemon,123,22,51
10/1/14,West,Darjeeling,285,128,51
4/1/14,West,Caffe Mocha,160,31,34
8/1/14,West,Lemon,598,281,110
7/1/14,West,Darjeeling,181,67,47
9/1/15,East,Darjeeling,114,23,36
7/1/14,West,Lemon,565,170,143
10/1/15,West,Darjeeling,308,163,101
9/1/15,West,Darjeeling,269,100,37
6/1/14,West,Decaf Irish Cream,107,-2,54
2/1/14,Central,Lemon,194,73,39
9/1/14,South,Lemon,141,21,46
8/1/14,West,Lemon,568,205,158
2/1/15,East,Chamomile,157,43,44
8/1/14,West,Decaf Irish Cream,238,93,58
4/1/14,South,Chamomile,174,39,33
10/1/14,Central,Decaf Irish Cream,56,-6,19
8/1/14,South,Lemon,76,14,31
3/1/14,South,Chamomile,107,36,36
10/1/14,East,Chamomile,56,11,25
7/1/14,West,Decaf Irish Cream,127,32,51
3/1/15,Central,Decaf Irish Cream,174,39,41
2/1/14,West,Caffe Mocha,131,36,33
1/1/15,East,Decaf Espresso,143,52,42
6/1/15,East,Decaf Irish Cream,504,430,94
10/1/14,East,Regular Espresso,81,-24,39
4/1/14,Central,Caffe Mocha,113,25,39
9/1/15,West,Decaf Espresso,104,49,31
11/1/14,West,Decaf Espresso,204,109,64
2/1/15,Central,Chamomile,110,44,42
5/1/15,West,Decaf Irish Cream,109,42,39
11/1/14,West,Caffe Mocha,69,28,22
1/1/15,West,Decaf Espresso,265,104,84
7/1/15,Central,Darjeeling,584,205,122
5/1/15,West,Lemon,495,237,117
10/1/15,West,Decaf Irish Cream,133,54,42
10/1/14,South,Decaf Espresso,179,48,49
2/1/14,West,Decaf Irish Cream,156,71,56
1/1/15,West,Decaf Irish Cream,148,41,54
2/1/15,Central,Decaf Irish Cream,234,160,57
2/1/14,East,Darjeeling,226,73,47
2/1/14,Central,Earl Grey,224,109,37
2/1/14,West,Lemon,57,32,23
5/1/15,Central,Chamomile,106,-14,49
11/1/14,East,Decaf Espresso,198,54,61
1/1/15,West,Darjeeling,119,44,47
7/1/15,West,Decaf Espresso,64,51,15
10/1/14,South,Chamomile,271,80,51
1/1/15,Central,Colombian,373,204,86
1/1/15,South,Decaf Espresso,77,5,32
12/1/15,South,Caffe Mocha,558,322,94
1/1/15,South,Decaf Irish Cream,66,28,37
10/1/14,West,Decaf Irish Cream,112,19,43
2/1/14,West,Caffe Latte,109,24,49
2/1/14,West,Caffe Mocha,166,69,41
10/1/15,West,Decaf Espresso,182,11,59
10/1/14,West,Darjeeling,294,132,114
6/1/14,West,Decaf Irish Cream,191,79,55
8/1/15,East,Chamomile,74,16,15
7/1/15,East,Decaf Irish Cream,596,402,111
2/1/14,West,Chamomile,254,70,53
2/1/14,East,Caffe Mocha,198,-2,93
1/1/14,Central,Lemon,141,15,47
5/1/14,East,Decaf Espresso,183,48,47
2/1/14,West,Caffe Latte,114,22,21
1/1/15,South,Caffe Mocha,231,66,102
7/1/14,Central,Lemon,133,-1,52
11/1/15,Central,Decaf Espresso,452,149,97
10/1/14,South,Caffe Latte,113,-8,49
5/1/15,Central,Lemon,40,34,19
5/1/14,East,Darjeeling,107,24,23
1/1/14,East,Decaf Irish Cream,177,111,45
8/1/14,South,Caffe Latte,82,6,40
12/1/14,West,Decaf Irish Cream,117,10,47
2/1/14,East,Decaf Irish Cream,222,95,53
2/1/14,East,Decaf Espresso,234,83,59
7/1/15,West,Decaf Irish Cream,70,32,44
10/1/14,South,Caffe Latte,281,88,54
11/1/14,South,Caffe Mocha,134,21,47
10/1/14,Central,Chamomile,101,-7,48
8/1/14,South,Decaf Irish Cream,73,26,22
11/1/14,East,Darjeeling,62,16,22
12/1/15,Central,Chamomile,339,156,60
3/1/14,Central,Caffe Mocha,162,55,33
8/1/14,Central,Lemon,168,86,45
2/1/14,West,Amaretto,110,11,45
2/1/15,Central,Decaf Irish Cream,238,107,69
5/1/14,South,Lemon,152,35,42
8/1/14,Central,Decaf Irish Cream,60,16,22
6/1/14,West,Darjeeling,131,71,49
10/1/14,East,Lemon,178,41,43
8/1/14,Central,Chamomile,84,8,38
5/1/15,West,Colombian,535,224,108
8/1/15,East,Darjeeling,64,21,22
9/1/14,West,Amaretto,84,-15,53
8/1/14,South,Decaf Irish Cream,163,20,42
8/1/14,Central,Lemon,308,138,59
3/1/15,East,Decaf Irish Cream,365,177,107
3/1/15,South,Decaf Espresso,142,33,45
2/1/15,South,Caffe Latte,168,96,42
5/1/15,Central,Decaf Irish Cream,139,35,35
10/1/14,South,Lemon,60,11,19
5/1/15,West,Decaf Irish Cream,141,35,38
5/1/15,Central,Decaf Irish Cream,130,53,26
4/1/14,South,Caffe Mocha,159,81,45
10/1/14,South,Lemon,74,2,46
5/1/15,South,Caffe Latte,70,49,16
11/1/15,South,Caffe Mocha,132,19,30
5/1/15,Central,Decaf Irish Cream,174,66,41
4/1/14,East,Darjeeling,74,-9,39
5/1/14,West,Decaf Espresso,463,166,88
7/1/14,West,Chamomile,287,149,96
10/1/14,South,Lemon,83,-8,37
8/1/14,West,Caffe Mocha,44,13,16
3/1/14,East,Mint,89,43,33
10/1/14,West,Darjeeling,152,3,55
5/1/15,West,Chamomile,104,39,22
5/1/14,West,Decaf Irish Cream,164,31,57
7/1/15,West,Chamomile,47,33,15
1/1/14,East,Decaf Irish Cream,199,91,59
5/1/15,East,Decaf Irish Cream,481,367,122
1/1/14,East,Decaf Irish Cream,292,109,118
4/1/14,West,Darjeeling,72,-15,40
8/1/14,Central,Decaf Irish Cream,75,27,21
3/1/14,South,Caffe Mocha,98,20,36
2/1/14,West,Decaf Irish Cream,108,11,40
8/1/14,Central,Mint,110,23,51
8/1/14,East,Chamomile,62,2,42
2/1/14,Central,Darjeeling,193,84,36
6/1/15,South,Caffe Latte,588,447,89
10/1/14,South,Decaf Irish Cream,312,17,111
10/1/15,East,Decaf Espresso,326,96,59
10/1/14,South,Caffe Latte,77,5,22
8/1/15,Central,Caffe Mocha,77,27,17
9/1/15,West,Decaf Irish Cream,146,47,40
1/1/14,South,Decaf Espresso,148,7,42
8/1/14,West,Caffe Mocha,134,11,56
10/1/14,West,Chamomile,78,2,22
11/1/15,East,Darjeeling,84,7,27
4/1/15,West,Decaf Espresso,87,37,20
10/1/14,West,Darjeeling,283,103,57
4/1/14,Central,Chamomile,154,60,65
12/1/15,West,Darjeeling,63,18,15
2/1/15,South,Decaf Irish Cream,146,-3,86
7/1/14,West,Decaf Irish Cream,138,32,45
1/1/15,East,Decaf Irish Cream,258,101,60
10/1/15,South,Lemon,125,47,51
12/1/14,South,Decaf Irish Cream,51,15,21
7/1/14,West,Darjeeling,228,79,43
1/1/15,East,Darjeeling,73,39,18
1/1/14,West,Darjeeling,116,6,47
12/1/14,West,Caffe Mocha,135,25,52
4/1/14,East,Darjeeling,131,1,50
1/1/14,East,Decaf Espresso,77,38,27
1/1/14,East,Mint,133,28,44
5/1/14,East,Darjeeling,95,28,18
12/1/14,East,Decaf Irish Cream,471,303,96
4/1/15,West,Caffe Mocha,145,-21,71
10/1/15,South,Caffe Mocha,348,139,103
10/1/14,West,Chamomile,309,105,45
7/1/15,West,Decaf Irish Cream,132,8,74
2/1/14,West,Earl Grey,113,-15,77
3/1/15,East,Decaf Irish Cream,382,267,121
3/1/14,Central,Decaf Espresso,199,54,51
10/1/14,East,Darjeeling,99,13,19
12/1/14,Central,Decaf Irish Cream,116,21,41
2/1/14,West,Decaf Irish Cream,125,27,41
4/1/14,Central,Chamomile,122,58,47
5/1/15,Central,Decaf Irish Cream,290,147,57
5/1/15,South,Decaf Irish Cream,59,25,21
2/1/14,East,Decaf Irish Cream,304,166,59
1/1/14,East,Chamomile,71,12,24
3/1/14,Central,Lemon,194,55,47
12/1/14,Central,Decaf Espresso,159,61,44
5/1/14,South,Caffe Latte,157,31,61
5/1/15,Central,Decaf Irish Cream,130,42,43
10/1/15,Central,Lemon,50,11,18
4/1/14,South,Chamomile,127,40,35
12/1/14,Central,Caffe Mocha,99,31,22
5/1/15,Central,Decaf Irish Cream,190,55,56
2/1/14,West,Decaf Espresso,261,40,91
1/1/14,South,Lemon,91,10,48
2/1/14,West,Darjeeling,126,12,41
12/1/14,East,Decaf Irish Cream,130,23,59
9/1/15,Central,Decaf Irish Cream,251,121,35
2/1/14,West,Darjeeling,118,48,42
2/1/15,Central,Decaf Irish Cream,290,61,61
12/1/14,East,Darjeeling,129,28,37
2/1/14,West,Amaretto,304,126,41
7/1/14,West,Decaf Irish Cream,112,13,46
2/1/14,West,Mint,240,-1,110
9/1/15,West,Caffe Mocha,228,112,53
3/1/14,South,Caffe Latte,494,155,110
2/1/14,South,Decaf Espresso,112,37,20
10/1/14,West,Caffe Mocha,266,104,63
8/1/14,Central,Lemon,81,13,23
10/1/14,East,Decaf Espresso,105,14,19
10/1/15,South,Caffe Mocha,599,216,110
5/1/14,Central,Darjeeling,103,18,22
5/1/14,East,Darjeeling,122,22,43
1/1/14,East,Darjeeling,72,23,21
1/1/14,East,Decaf Irish Cream,212,-9,61
1/1/15,South,Decaf Irish Cream,277,92,64
9/1/15,West,Darjeeling,140,49,31
8/1/14,Central,Lemon,295,115,54
10/1/14,South,Decaf Irish Cream,129,7,26
1/1/15,East,Chamomile,213,64,46
7/1/14,West,Decaf Irish Cream,78,3,49
2/1/14,South,Lemon,114,34,26
5/1/14,East,Chamomile,124,39,46
8/1/14,West,Darjeeling,262,110,53
10/1/15,West,Decaf Espresso,234,161,56
8/1/15,Central,Lemon,64,8,25
10/1/14,West,Green Tea,186,107,45
8/1/15,Central,Decaf Irish Cream,62,3,17
12/1/14,East,Decaf Espresso,173,14,64
11/1/14,East,Darjeeling,82,15,19
12/1/14,Central,Decaf Irish Cream,112,49,45
10/1/14,Central,Darjeeling,62,-18,38
3/1/14,East,Darjeeling,113,20,18
12/1/14,West,Caffe Mocha,219,35,60
8/1/14,East,Decaf Irish Cream,230,32,69
11/1/15,Central,Darjeeling,516,173,115
5/1/14,Central,Decaf Irish Cream,180,40,42
8/1/14,West,Mint,115,6,40
2/1/14,Central,Decaf Irish Cream,117,57,50
5/1/14,West,Decaf Irish Cream,128,34,31
1/1/14,Central,Decaf Irish Cream,196,83,53
3/1/14,South,Decaf Irish Cream,202,29,60
2/1/14,West,Caffe Latte,121,12,51
2/1/15,South,Decaf Irish Cream,158,67,55
2/1/15,West,Decaf Espresso,106,51,21
10/1/14,East,Regular Espresso,67,-18,15
2/1/14,West,Mint,207,96,38
10/1/14,Central,Chamomile,54,2,20
1/1/14,East,Decaf Irish Cream,238,103,59
2/1/14,West,Chamomile,113,15,54
8/1/14,West,Chamomile,97,24,39
5/1/15,West,Decaf Espresso,56,38,20
10/1/14,West,Decaf Irish Cream,101,9,36
8/1/14,East,Mint,66,-312,46
8/1/15,West,Decaf Irish Cream,213,62,63
2/1/14,Central,Decaf Irish Cream,223,104,47
2/1/14,Central,Decaf Irish Cream,113,23,38
8/1/15,Central,Lemon,73,10,31
8/1/14,Central,Decaf Irish Cream,139,26,48
3/1/14,South,Caffe Mocha,165,73,49
2/1/14,West,Decaf Espresso,116,41,29
8/1/14,South,Caffe Latte,77,3,39
5/1/15,Central,Decaf Irish Cream,103,24,34
5/1/15,East,Colombian,472,239,86
1/1/15,West,Decaf Espresso,124,42,53
7/1/14,South,Lemon,90,7,33
6/1/15,East,Decaf Irish Cream,481,332,119
5/1/15,West,Caffe Latte,75,57,20
5/1/14,South,Decaf Espresso,116,33,43
1/1/14,Central,Decaf Irish Cream,196,103,75
1/1/15,South,Lemon,142,39,60
2/1/15,South,Caffe Latte,158,39,55
5/1/15,Central,Caffe Mocha,73,44,23
9/1/14,Central,Decaf Irish Cream,257,80,103
2/1/15,East,Decaf Irish Cream,242,38,52
12/1/14,Central,Amaretto,100,-10,48
2/1/14,West,Amaretto,208,101,130
11/1/14,Central,Caffe Mocha,265,120,58
9/1/15,South,Caffe Mocha,140,95,31
1/1/14,East,Decaf Irish Cream,513,412,105
5/1/15,South,Decaf Irish Cream,119,49,35
1/1/14,East,Decaf Irish Cream,116,-8,58
8/1/15,East,Decaf Irish Cream,614,693,49
10/1/14,South,Caffe Mocha,302,94,65
9/1/15,Central,Decaf Irish Cream,252,128,48
11/1/15,Central,Chamomile,76,29,42
2/1/14,East,Lemon,131,9,58
12/1/14,East,Decaf Espresso,135,4,72
7/1/14,West,Decaf Irish Cream,119,24,31
9/1/14,East,Chamomile,161,64,81
3/1/15,East,Decaf Irish Cream,338,240,95
10/1/14,Central,Darjeeling,300,76,46
10/1/15,Central,Decaf Espresso,394,189,108
10/1/15,East,Decaf Irish Cream,714,482,119
5/1/14,South,Chamomile,171,23,59
2/1/15,West,Mint,178,50,41
8/1/14,West,Caffe Latte,268,102,96
10/1/14,South,Lemon,51,-9,25
7/1/14,West,Decaf Irish Cream,296,134,132
1/1/14,West,Decaf Espresso,143,39,47
7/1/15,West,Darjeeling,111,41,35
10/1/14,West,Lemon,124,19,50
1/1/15,West,Chamomile,93,28,19
5/1/15,South,Decaf Irish Cream,119,44,38
9/1/15,East,Decaf Irish Cream,328,192,60
5/1/14,Central,Decaf Espresso,179,105,45
2/1/14,Central,Darjeeling,98,9,25
8/1/15,West,Chamomile,89,33,21
1/1/15,West,Lemon,147,49,28
10/1/14,West,Decaf Irish Cream,122,15,50
1/1/14,Central,Darjeeling,119,20,23
11/1/15,South,Lemon,62,20,43
5/1/14,East,Darjeeling,170,41,47
3/1/14,West,Chamomile,274,117,58
4/1/14,West,Darjeeling,111,22,27
6/1/14,West,Decaf Irish Cream,106,-2,42
7/1/14,West,Decaf Irish Cream,616,112,171
1/1/14,Central,Darjeeling,87,22,25
4/1/14,East,Lemon,120,-6,50
1/1/14,Central,Decaf Espresso,88,36,43
5/1/15,West,Decaf Irish Cream,157,29,52
12/1/14,East,Lemon,84,3,43
2/1/14,East,Chamomile,104,12,29
10/1/15,West,Darjeeling,446,108,97
2/1/15,Central,Darjeeling,104,-13,48
5/1/14,East,Decaf Espresso,207,23,61
1/1/14,Central,Decaf Irish Cream,195,65,37
2/1/14,West,Chamomile,106,21,20
2/1/14,West,Mint,195,73,39
12/1/14,South,Lemon,137,73,40
8/1/14,Central,Darjeeling,517,130,92
8/1/14,West,Caffe Mocha,349,127,148
12/1/14,Central,Decaf Espresso,121,22,32
1/1/15,South,Caffe Mocha,244,55,41
11/1/14,East,Decaf Espresso,24,22,18
9/1/15,West,Darjeeling,247,56,34
2/1/14,South,Caffe Latte,110,20,35
11/1/15,East,Darjeeling,69,4,22
2/1/14,West,Darjeeling,177,36,46
7/1/14,West,Decaf Espresso,173,30,61
8/1/15,West,Chamomile,70,30,17
7/1/14,West,Caffe Mocha,137,34,28
2/1/15,East,Decaf Irish Cream,258,66,57
10/1/14,Central,Mint,86,13,35
4/1/14,West,Darjeeling,129,4,42
12/1/14,East,Mint,147,43,43
4/1/14,Central,Decaf Irish Cream,105,29,35
2/1/15,South,Decaf Irish Cream,79,31,39
1/1/15,West,Mint,206,63,43
10/1/14,Central,Darjeeling,88,3,44
5/1/15,West,Decaf Irish Cream,102,32,23
2/1/14,West,Mint,180,39,41
7/1/15,Central,Darjeeling,595,210,125
2/1/14,West,Earl Grey,287,87,40
10/1/14,West,Darjeeling,265,83,47
9/1/15,East,Lemon,259,104,52
1/1/14,West,Decaf Espresso,88,26,27
11/1/15,Central,Lemon,585,178,94
10/1/14,South,Caffe Latte,100,7,30
4/1/15,East,Decaf Irish Cream,578,209,113
12/1/14,South,Caffe Mocha,86,0,26
11/1/14,South,Decaf Espresso,131,31,41
2/1/15,Central,Decaf Irish Cream,377,186,92
8/1/14,West,Decaf Irish Cream,66,13,39
7/1/14,West,Decaf Irish Cream,141,18,65
2/1/14,East,Darjeeling,118,36,22
12/1/14,Central,Decaf Irish Cream,207,94,41
3/1/15,East,Decaf Irish Cream,373,345,116
6/1/15,Central,Decaf Espresso,377,245,87
5/1/15,West,Decaf Irish Cream,191,95,63
5/1/15,West,Caffe Mocha,108,44,24
2/1/14,West,Decaf Espresso,113,16,48
3/1/14,Central,Mint,271,135,38
2/1/14,East,Decaf Irish Cream,186,-13,85
5/1/14,East,Decaf Irish Cream,229,51,60
3/1/14,South,Decaf Irish Cream,269,102,62
9/1/15,South,Chamomile,168,104,57
11/1/14,East,Lemon,71,3,25
12/1/14,Central,Caffe Mocha,37,8,13
2/1/14,South,Caffe Mocha,174,48,79
2/1/15,East,Regular Espresso,343,123,123
9/1/14,West,Decaf Irish Cream,128,35,55
10/1/14,South,Caffe Latte,128,57,24
2/1/15,West,Decaf Irish Cream,83,10,22
8/1/14,West,Decaf Espresso,229,64,69
5/1/15,West,Decaf Irish Cream,61,41,23
7/1/14,Central,Mint,310,113,45
8/1/14,East,Decaf Irish Cream,250,95,61
11/1/14,South,Lemon,200,113,53
10/1/14,East,Chamomile,90,-5,44
4/1/14,West,Chamomile,214,112,50
8/1/14,Central,Caffe Mocha,317,129,73
2/1/14,East,Amaretto,135,63,53
5/1/15,South,Decaf Irish Cream,122,40,35
10/1/15,South,Decaf Espresso,235,79,56
2/1/15,Central,Decaf Irish Cream,188,98,54
2/1/14,South,Decaf Espresso,221,77,43
1/1/14,Central,Decaf Irish Cream,77,-15,59
4/1/14,West,Darjeeling,79,-14,44
2/1/14,East,Amaretto,232,129,120
10/1/14,East,Darjeeling,43,6,19
10/1/14,Central,Decaf Irish Cream,307,117,44
12/1/15,South,Caffe Mocha,550,141,95
2/1/14,East,Decaf Irish Cream,212,91,52
8/1/14,West,Decaf Irish Cream,55,12,21
8/1/14,Central,Decaf Irish Cream,116,24,43
10/1/14,Central,Chamomile,162,20,45
8/1/15,South,Decaf Irish Cream,68,27,22
4/1/14,Central,Decaf Irish Cream,173,52,34
10/1/14,West,Decaf Espresso,106,5,42
8/1/15,Central,Decaf Irish Cream,83,41,45
5/1/14,Central,Darjeeling,170,35,38
10/1/14,East,Chamomile,221,114,65
8/1/15,West,Decaf Irish Cream,73,-151,43
4/1/14,South,Decaf Irish Cream,94,13,41
8/1/14,Central,Chamomile,258,105,51
8/1/15,Central,Decaf Irish Cream,184,46,44
10/1/14,West,Darjeeling,281,85,42
2/1/14,East,Darjeeling,112,16,22
3/1/14,South,Caffe Mocha,194,94,55
3/1/14,South,Colombian,176,68,47
2/1/14,West,Decaf Irish Cream,119,-8,103
8/1/14,West,Decaf Espresso,536,135,90
1/1/14,East,Decaf Espresso,136,35,37
1/1/15,Central,Darjeeling,184,86,56
5/1/14,Central,Decaf Irish Cream,124,31,35
12/1/14,West,Caffe Mocha,85,20,26
2/1/14,South,Caffe Mocha,111,21,23
11/1/14,South,Decaf Irish Cream,137,42,45
5/1/14,West,Decaf Espresso,133,50,50
5/1/15,West,Decaf Irish Cream,104,18,40
8/1/15,West,Decaf Irish Cream,39,29,28
3/1/15,East,Decaf Irish Cream,312,119,64
5/1/14,Central,Decaf Irish Cream,121,6,32
12/1/14,West,Darjeeling,140,33,38
1/1/14,Central,Decaf Irish Cream,195,85,38
2/1/15,West,Decaf Espresso,158,67,47
2/1/14,East,Decaf Irish Cream,237,84,94
6/1/15,East,Mint,137,37,34
11/1/15,Central,Colombian,635,320,83
2/1/14,Central,Decaf Irish Cream,139,50,46
9/1/14,West,Decaf Irish Cream,135,23,58
3/1/14,West,Decaf Irish Cream,223,27,114
1/1/15,East,Decaf Irish Cream,198,49,51
10/1/14,East,Decaf Espresso,190,81,53
3/1/14,Central,Decaf Espresso,188,69,52
10/1/14,Central,Decaf Irish Cream,103,19,23
7/1/14,South,Chamomile,118,14,30
5/1/15,Central,Decaf Irish Cream,109,24,40
7/1/14,West,Caffe Mocha,266,-5,81
8/1/14,South,Decaf Irish Cream,158,47,53
6/1/14,West,Decaf Irish Cream,113,-11,61
4/1/15,Central,Decaf Irish Cream,179,51,41
4/1/15,East,Decaf Irish Cream,581,366,127
2/1/14,West,Chamomile,168,-10,65
7/1/14,East,Decaf Irish Cream,321,32,77
7/1/15,East,Decaf Irish Cream,601,531,142
1/1/15,West,Caffe Mocha,241,45,74
1/1/15,Central,Mint,422,144,92
7/1/14,West,Darjeeling,132,65,48
4/1/14,East,Decaf Espresso,145,3,92
2/1/15,South,Decaf Irish Cream,117,26,27
8/1/14,East,Mint,73,14,34
10/1/14,West,Caffe Latte,50,-3,19
12/1/14,West,Mint,266,35,66
5/1/15,South,Decaf Espresso,83,43,32
8/1/14,South,Chamomile,71,23,32
5/1/15,West,Lemon,527,282,127
12/1/14,South,Caffe Mocha,37,-7,24
5/1/14,Central,Decaf Irish Cream,130,15,36
11/1/15,Central,Caffe Mocha,573,278,93
7/1/14,West,Mint,195,22,46
10/1/15,Central,Lemon,69,24,20
8/1/14,West,Darjeeling,107,58,50
6/1/14,West,Decaf Irish Cream,243,109,69
2/1/14,West,Darjeeling,198,-6,83
1/1/15,Central,Decaf Irish Cream,147,81,37
3/1/14,East,Darjeeling,52,22,17
5/1/14,East,Decaf Espresso,153,37,45
11/1/14,South,Chamomile,139,29,43
3/1/14,Central,Decaf Irish Cream,206,42,53
1/1/14,West,Decaf Irish Cream,85,11,37
1/1/14,East,Mint,259,2,58
8/1/14,West,Caffe Mocha,271,94,102
2/1/14,Central,Mint,174,94,33
11/1/15,West,Chamomile,117,19,45
5/1/15,Central,Lemon,209,56,41
9/1/15,West,Caffe Mocha,184,50,49
7/1/14,West,Decaf Espresso,224,72,59
10/1/15,South,Caffe Mocha,368,167,115
2/1/15,East,Darjeeling,155,11,47
5/1/14,East,Darjeeling,178,90,52
7/1/14,West,Caffe Mocha,209,19,67
5/1/14,West,Chamomile,479,167,53
2/1/14,West,Earl Grey,170,-7,91
8/1/15,Central,Decaf Irish Cream,53,15,17
5/1/14,Central,Decaf Irish Cream,128,25,34
2/1/14,West,Earl Grey,110,-4,88
6/1/14,West,Chamomile,36,32,18
1/1/14,Central,Decaf Irish Cream,179,76,37
8/1/14,East,Lemon,103,8,61
9/1/15,East,Decaf Espresso,71,33,32
1/1/14,East,Decaf Irish Cream,180,51,101
9/1/15,Central,Decaf Irish Cream,244,76,55
10/1/14,East,Darjeeling,60,0,39
9/1/14,West,Darjeeling,189,70,47
3/1/14,East,Chamomile,101,31,39
1/1/14,Central,Decaf Irish Cream,118,4,57
8/1/14,Central,Caffe Mocha,187,32,54
4/1/14,East,Regular Espresso,142,-9,74
2/1/14,West,Decaf Espresso,51,33,21
5/1/14,Central,Decaf Irish Cream,143,15,74
7/1/14,West,Decaf Espresso,220,48,69
10/1/15,South,Caffe Latte,338,89,109
2/1/15,East,Decaf Irish Cream,314,107,99
5/1/14,West,Caffe Latte,261,100,85
8/1/14,South,Caffe Mocha,54,11,18
10/1/14,East,Regular Espresso,24,-5,19
2/1/14,West,Chamomile,72,12,25
10/1/15,South,Caffe Latte,48,-32,41
5/1/15,Central,Decaf Irish Cream,156,45,52
10/1/15,Central,Colombian,645,288,131
4/1/14,West,Darjeeling,164,34,78
12/1/14,Central,Amaretto,104,37,44
11/1/14,Central,Caffe Mocha,127,35,23
11/1/14,West,Chamomile,77,10,44
2/1/14,Central,Chamomile,168,68,39
2/1/15,South,Caffe Mocha,263,69,44
4/1/15,Central,Decaf Espresso,121,58,20
1/1/15,East,Lemon,142,81,55
9/1/14,East,Decaf Irish Cream,304,15,91
2/1/14,West,Mint,136,20,36
8/1/14,Central,Decaf Irish Cream,157,76,48
2/1/14,West,Chamomile,224,114,33
11/1/14,South,Chamomile,163,37,52
9/1/15,West,Decaf Irish Cream,160,38,45
5/1/14,Central,Decaf Irish Cream,187,55,60
2/1/14,West,Caffe Mocha,129,-1,119
1/1/14,East,Caffe Mocha,131,-18,63
1/1/14,Central,Decaf Irish Cream,186,53,46
5/1/14,West,Mint,180,42,45
12/1/14,Central,Decaf Espresso,194,33,44
3/1/15,Central,Decaf Irish Cream,244,119,114
8/1/14,East,Decaf Irish Cream,651,216,182
1/1/15,West,Lemon,438,131,106
5/1/15,West,Chamomile,98,43,23
9/1/14,East,Lemon,79,0,44
5/1/14,East,Lemon,118,28,55
10/1/14,Central,Decaf Irish Cream,177,24,64
1/1/14,Central,Decaf Irish Cream,179,96,33
2/1/14,West,Earl Grey,116,38,32
2/1/14,West,Lemon,194,-24,57
4/1/14,West,Caffe Mocha,123,21,54
3/1/15,East,Amaretto,316,212,90
5/1/15,West,Decaf Irish Cream,129,42,51
2/1/14,East,Amaretto,97,-7,56
8/1/15,Central,Lemon,66,18,18
2/1/14,East,Decaf Espresso,197,67,52
10/1/14,West,Decaf Espresso,243,82,56
2/1/15,South,Decaf Irish Cream,199,50,56
2/1/14,Central,Chamomile,340,162,39
1/1/15,Central,Mint,149,108,38
6/1/15,West,Decaf Espresso,572,236,111
2/1/14,West,Mint,115,15,44
8/1/14,South,Chamomile,84,27,43
7/1/15,West,Chamomile,66,23,19
1/1/15,South,Caffe Mocha,155,79,41
5/1/15,West,Caffe Mocha,132,40,36
8/1/14,West,Darjeeling,312,123,62
7/1/15,West,Caffe Mocha,66,13,27
10/1/14,Central,Darjeeling,183,89,64
1/1/15,South,Decaf Irish Cream,152,34,85
5/1/15,Central,Decaf Irish Cream,113,35,24
8/1/14,West,Decaf Irish Cream,102,17,47
7/1/14,West,Chamomile,137,28,44
1/1/15,West,Darjeeling,303,29,50
5/1/14,West,Decaf Espresso,104,24,37
10/1/14,South,Decaf Espresso,88,19,35
8/1/14,East,Lemon,112,9,42
2/1/14,West,Chamomile,173,57,55
1/1/14,Central,Lemon,101,5,41
2/1/14,Central,Lemon,211,110,106
1/1/14,South,Caffe Mocha,142,24,39
10/1/14,West,Decaf Espresso,192,96,44
9/1/14,South,Decaf Irish Cream,145,12,38
6/1/15,West,Decaf Espresso,126,45,31
7/1/14,West,Decaf Espresso,427,127,105
2/1/14,West,Darjeeling,259,62,80
2/1/14,West,Mint,329,120,110
9/1/15,Central,Decaf Irish Cream,200,109,45
3/1/14,West,Caffe Mocha,106,12,51
8/1/15,East,Lemon,333,76,73
7/1/14,West,Darjeeling,112,32,42
3/1/14,East,Chamomile,88,23,19
5/1/15,South,Decaf Irish Cream,116,36,22
5/1/14,East,Decaf Espresso,82,29,19
7/1/14,West,Decaf Irish Cream,183,24,63
5/1/15,West,Caffe Mocha,96,31,20
2/1/14,West,Caffe Latte,47,10,23
6/1/15,Central,Lemon,518,204,118
2/1/15,Central,Decaf Irish Cream,297,134,33
4/1/14,West,Lemon,120,38,51
5/1/14,East,Lemon,199,35,63
10/1/14,East,Decaf Espresso,55,-19,39
8/1/14,Central,Chamomile,145,82,52
10/1/14,Central,Darjeeling,171,-3,70
5/1/14,West,Decaf Espresso,215,53,60
2/1/14,West,Decaf Irish Cream,115,20,46
8/1/15,South,Decaf Irish Cream,106,47,19
1/1/15,West,Lemon,515,159,136
8/1/14,West,Darjeeling,427,97,101
12/1/14,West,Decaf Espresso,105,28,40
4/1/14,Central,Decaf Irish Cream,126,17,52
1/1/15,West,Decaf Espresso,217,74,57
5/1/15,Central,Chamomile,119,-32,77
10/1/14,Central,Darjeeling,53,-9,41
8/1/14,Central,Decaf Irish Cream,168,45,57
1/1/14,West,Mint,155,11,40
2/1/14,Central,Darjeeling,200,69,35
8/1/14,West,Decaf Espresso,63,9,20
4/1/14,West,Darjeeling,198,-2,86
10/1/14,East,Lemon,66,-6,43
3/1/14,Central,Lemon,194,104,46
2/1/14,West,Darjeeling,121,42,38
2/1/14,West,Caffe Mocha,106,29,23
1/1/15,West,Caffe Mocha,238,67,66
