Ddate,Market,Product,Product Type,Sales,Profit,Expenses
2/1/12,Central,Lemon,Herbal Tea,109,52,36
7/1/12,South,Chamomile,Herbal Tea,66,24,16
8/1/12,West,Lemon,Herbal Tea,155,31,67
9/1/13,West,Chamomile,Herbal Tea,106,40,36
6/1/13,Central,Decaf Irish Cream,Coffee,145,44,38
9/1/13,Central,Chamomile,Herbal Tea,649,196,124
8/1/13,South,Lemon,Herbal Tea,107,18,15
12/1/12,West,Decaf Irish Cream,Coffee,185,15,61
8/1/12,West,Darjeeling,Tea,609,171,125
3/1/13,Central,Decaf Irish Cream,Coffee,320,345,37
11/1/12,Central,Decaf Irish Cream,Coffee,248,114,54
5/1/12,East,Decaf Espresso,Espresso,101,27,20
12/1/12,East,Decaf Irish Cream,Coffee,457,481,54
5/1/12,Central,Decaf Irish Cream,Coffee,183,57,41
2/1/13,West,Decaf Irish Cream,Coffee,96,-4,26
1/1/12,Central,Decaf Irish Cream,Coffee,203,85,33
7/1/12,West,Mint,Herbal Tea,267,12,77
5/1/12,East,Darjeeling,Tea,45,11,18
11/1/12,West,Caffe Mocha,Espresso,78,19,23
5/1/12,East,Decaf Espresso,Espresso,202,31,62
3/1/12,East,Darjeeling,Tea,100,41,15
2/1/12,South,Caffe Latte,Espresso,285,79,105
8/1/12,West,Caffe Mocha,Espresso,297,154,94
5/1/12,East,Decaf Espresso,Espresso,221,48,55
10/1/12,East,Caffe Mocha,Espresso,122,1,149
4/1/12,East,Lemon,Herbal Tea,176,31,50
3/1/12,West,Chamomile,Herbal Tea,109,25,34
10/1/12,East,Decaf Espresso,Espresso,62,43,21
2/1/13,South,Decaf Irish Cream,Coffee,166,74,39
1/1/13,West,Decaf Irish Cream,Coffee,150,40,46
10/1/12,East,Darjeeling,Tea,52,1,20
4/1/13,West,Chamomile,Herbal Tea,157,68,24
9/1/13,Central,Decaf Irish Cream,Coffee,153,51,37
12/1/12,South,Decaf Irish Cream,Coffee,85,-4,45
11/1/12,West,Caffe Mocha,Espresso,17,17,19
8/1/12,West,Chamomile,Herbal Tea,613,217,166
10/1/12,Central,Darjeeling,Tea,185,103,50
2/1/13,South,Caffe Latte,Espresso,88,1,44
8/1/13,Central,Chamomile,Herbal Tea,80,34,13
1/1/12,East,Decaf Irish Cream,Coffee,282,74,101
10/1/12,West,Darjeeling,Tea,252,91,57
2/1/13,West,Decaf Irish Cream,Coffee,143,43,53
10/1/12,West,Lemon,Herbal Tea,262,113,126
2/1/13,South,Caffe Mocha,Espresso,237,-2,66
8/1/12,East,Decaf Irish Cream,Coffee,214,42,74
5/1/13,East,Decaf Irish Cream,Coffee,500,418,138
7/1/12,East,Decaf Irish Cream,Coffee,346,440,166
2/1/12,East,Regular Espresso,Espresso,49,-9,42
2/1/12,West,Caffe Latte,Espresso,103,32,23
5/1/12,Central,Darjeeling,Tea,192,118,41
2/1/13,West,Lemon,Herbal Tea,85,2,50
8/1/12,West,Darjeeling,Tea,334,113,59
4/1/12,South,Decaf Irish Cream,Coffee,187,48,58
3/1/13,East,Decaf Espresso,Espresso,204,40,43
2/1/13,South,Lemon,Herbal Tea,92,-16,47
2/1/12,Central,Decaf Espresso,Espresso,110,30,26
10/1/12,South,Decaf Irish Cream,Coffee,205,91,48
6/1/12,West,Darjeeling,Tea,330,120,45
5/1/13,Central,Darjeeling,Tea,318,128,39
5/1/12,West,Darjeeling,Tea,262,133,59
9/1/13,Central,Decaf Espresso,Espresso,258,117,51
1/1/12,East,Decaf Espresso,Espresso,138,31,26
10/1/12,Central,Darjeeling,Tea,116,60,34
3/1/12,West,Mint,Herbal Tea,289,127,50
2/1/13,South,Decaf Irish Cream,Coffee,218,92,89
2/1/12,South,Caffe Mocha,Espresso,49,12,25
5/1/13,South,Lemon,Herbal Tea,108,47,21
2/1/12,Central,Amaretto,Coffee,281,139,42
10/1/12,East,Lemon,Herbal Tea,252,36,62
3/1/13,East,Decaf Irish Cream,Coffee,558,293,113
7/1/12,West,Mint,Herbal Tea,185,48,54
12/1/12,East,Darjeeling,Tea,137,34,37
6/1/13,East,Colombian,Coffee,440,182,95
1/1/13,East,Darjeeling,Tea,110,28,22
8/1/12,West,Lemon,Herbal Tea,160,57,63
6/1/13,West,Chamomile,Herbal Tea,447,225,95
7/1/13,West,Chamomile,Herbal Tea,101,33,31
2/1/12,Central,Mint,Herbal Tea,124,-2,43
7/1/12,West,Decaf Irish Cream,Coffee,87,44,39
3/1/13,Central,Decaf Irish Cream,Coffee,230,72,39
2/1/12,Central,Darjeeling,Tea,128,75,36
4/1/12,East,Lemon,Herbal Tea,146,43,31
5/1/12,West,Darjeeling,Tea,155,67,48
6/1/12,South,Decaf Irish Cream,Coffee,54,-9,42
9/1/13,East,Mint,Herbal Tea,228,138,44
2/1/12,West,Darjeeling,Tea,109,20,47
10/1/12,South,Chamomile,Herbal Tea,97,22,21
9/1/13,South,Caffe Mocha,Espresso,75,44,29
10/1/13,West,Lemon,Herbal Tea,44,30,20
12/1/13,South,Caffe Mocha,Espresso,205,147,53
1/1/13,West,Lemon,Herbal Tea,303,75,64
1/1/12,South,Caffe Mocha,Espresso,131,52,63
3/1/12,South,Decaf Irish Cream,Coffee,140,23,46
6/1/12,West,Decaf Irish Cream,Coffee,121,0,26
7/1/13,South,Caffe Latte,Espresso,47,26,21
11/1/12,South,Caffe Mocha,Espresso,442,97,79
5/1/13,South,Caffe Latte,Espresso,133,41,22
4/1/12,South,Decaf Irish Cream,Coffee,57,19,34
9/1/12,East,Amaretto,Coffee,152,68,53
10/1/12,East,Amaretto,Coffee,274,75,64
3/1/13,Central,Chamomile,Herbal Tea,96,36,24
4/1/12,South,Caffe Mocha,Espresso,125,30,38
1/1/13,Central,Lemon,Herbal Tea,475,131,108
10/1/13,West,Chamomile,Herbal Tea,332,119,41
8/1/12,West,Decaf Irish Cream,Coffee,67,3,44
5/1/13,West,Decaf Irish Cream,Coffee,105,38,30
4/1/13,Central,Decaf Irish Cream,Coffee,602,267,118
3/1/12,East,Darjeeling,Tea,100,28,19
3/1/13,Central,Decaf Irish Cream,Coffee,219,117,59
8/1/12,East,Caffe Mocha,Espresso,401,322,134
11/1/12,West,Darjeeling,Tea,81,11,23
9/1/12,East,Decaf Espresso,Espresso,61,-257,121
2/1/12,East,Caffe Mocha,Espresso,95,-16,75
5/1/12,Central,Decaf Irish Cream,Coffee,134,35,53
7/1/12,West,Chamomile,Herbal Tea,192,73,62
9/1/13,South,Chamomile,Herbal Tea,97,40,37
10/1/12,West,Darjeeling,Tea,178,65,57
10/1/12,East,Lemon,Herbal Tea,41,-10,19
3/1/13,Central,Decaf Irish Cream,Coffee,230,102,42
10/1/12,West,Decaf Espresso,Espresso,284,90,54
12/1/12,Central,Amaretto,Coffee,111,15,47
10/1/13,West,Lemon,Herbal Tea,120,34,25
8/1/12,Central,Decaf Irish Cream,Coffee,332,157,138
4/1/12,Central,Decaf Irish Cream,Coffee,106,22,30
6/1/13,Central,Lemon,Herbal Tea,555,359,119
8/1/12,South,Caffe Latte,Espresso,293,96,69
8/1/12,Central,Decaf Irish Cream,Coffee,164,37,42
7/1/12,Central,Chamomile,Herbal Tea,172,4,51
2/1/12,South,Caffe Latte,Espresso,125,46,27
8/1/12,East,Lemon,Herbal Tea,211,85,64
2/1/12,West,Darjeeling,Tea,203,83,40
1/1/13,West,Caffe Latte,Espresso,79,40,23
1/1/12,East,Darjeeling,Tea,64,24,19
11/1/12,South,Lemon,Herbal Tea,466,137,87
11/1/12,South,Lemon,Herbal Tea,256,33,64
2/1/13,South,Caffe Mocha,Espresso,258,57,72
7/1/13,East,Caffe Mocha,Espresso,64,-321,53
3/1/12,Central,Darjeeling,Tea,182,60,53
7/1/13,West,Darjeeling,Tea,206,99,38
2/1/12,West,Lemon,Herbal Tea,101,23,23
1/1/12,Central,Decaf Irish Cream,Coffee,179,41,60
3/1/12,East,Mint,Herbal Tea,88,16,39
11/1/12,East,Darjeeling,Tea,59,2,20
4/1/13,West,Caffe Mocha,Espresso,84,35,24
1/1/13,East,Lemon,Herbal Tea,137,30,41
4/1/12,Central,Lemon,Herbal Tea,165,29,49
12/1/12,Central,Decaf Irish Cream,Coffee,114,33,41
10/1/13,West,Darjeeling,Tea,338,172,123
2/1/13,East,Decaf Irish Cream,Coffee,311,177,96
4/1/13,East,Decaf Irish Cream,Coffee,567,260,120
10/1/12,South,Decaf Irish Cream,Coffee,59,14,20
3/1/12,East,Decaf Espresso,Espresso,285,79,105
2/1/12,East,Caffe Mocha,Espresso,164,0,109
3/1/12,West,Decaf Espresso,Espresso,115,35,66
10/1/13,West,Chamomile,Herbal Tea,621,266,136
8/1/13,West,Lemon,Herbal Tea,91,11,20
1/1/12,East,Darjeeling,Tea,130,27,42
1/1/12,West,Decaf Irish Cream,Coffee,139,1,50
11/1/12,West,Decaf Espresso,Espresso,127,16,44
7/1/12,West,Lemon,Herbal Tea,270,4,75
7/1/12,East,Lemon,Herbal Tea,109,1,27
9/1/13,Central,Caffe Mocha,Espresso,95,41,19
9/1/12,East,Decaf Irish Cream,Coffee,304,101,59
9/1/12,West,Decaf Irish Cream,Coffee,155,26,54
10/1/12,East,Amaretto,Coffee,229,114,62
9/1/13,Central,Amaretto,Coffee,322,154,69
8/1/13,East,Decaf Irish Cream,Coffee,382,114,58
12/1/12,East,Colombian,Coffee,573,306,145
12/1/13,West,Chamomile,Herbal Tea,86,40,39
9/1/13,Central,Decaf Espresso,Espresso,95,20,36
1/1/13,East,Lemon,Herbal Tea,227,41,58
11/1/12,East,Mint,Herbal Tea,62,-7,46
11/1/13,South,Caffe Mocha,Espresso,213,121,50
8/1/13,Central,Darjeeling,Tea,56,1,15
10/1/13,Central,Decaf Irish Cream,Coffee,659,230,112
10/1/12,East,Decaf Espresso,Espresso,192,76,53
2/1/12,South,Decaf Espresso,Espresso,132,10,45
7/1/12,East,Caffe Mocha,Espresso,332,109,72
1/1/12,Central,Lemon,Herbal Tea,285,126,38
5/1/13,Central,Decaf Irish Cream,Coffee,126,41,40
2/1/12,Central,Decaf Irish Cream,Coffee,139,39,51
11/1/12,East,Darjeeling,Tea,64,20,21
10/1/13,East,Decaf Irish Cream,Coffee,233,68,63
8/1/12,South,Caffe Latte,Espresso,86,15,37
9/1/12,East,Lemon,Herbal Tea,277,81,55
2/1/12,Central,Lemon,Herbal Tea,170,72,39
2/1/12,East,Lemon,Herbal Tea,183,72,56
10/1/12,West,Caffe Mocha,Espresso,100,6,44
1/1/12,Central,Decaf Irish Cream,Coffee,201,86,45
10/1/12,West,Decaf Espresso,Espresso,512,144,87
2/1/12,Central,Darjeeling,Tea,294,123,40
8/1/12,West,Caffe Mocha,Espresso,89,5,36
12/1/12,East,Lemon,Herbal Tea,142,31,57
10/1/12,Central,Chamomile,Herbal Tea,288,100,41
2/1/13,West,Decaf Irish Cream,Coffee,98,14,49
11/1/13,South,Caffe Latte,Espresso,65,-4,26
5/1/12,West,Decaf Espresso,Espresso,149,18,56
9/1/13,Central,Lemon,Herbal Tea,80,46,36
5/1/13,Central,Mint,Herbal Tea,584,224,97
10/1/12,Central,Lemon,Herbal Tea,54,9,21
10/1/13,East,Colombian,Coffee,643,397,136
7/1/12,West,Decaf Irish Cream,Coffee,204,23,57
8/1/12,Central,Darjeeling,Tea,157,18,44
8/1/13,West,Decaf Irish Cream,Coffee,60,9,33
4/1/12,Central,Darjeeling,Tea,75,-5,41
2/1/13,East,Decaf Espresso,Espresso,153,34,60
11/1/12,East,Lemon,Herbal Tea,77,2,44
9/1/13,Central,Decaf Irish Cream,Coffee,150,25,37
2/1/13,East,Decaf Irish Cream,Coffee,320,157,61
11/1/13,West,Darjeeling,Tea,66,22,48
5/1/13,West,Decaf Irish Cream,Coffee,130,39,26
8/1/13,East,Darjeeling,Tea,70,2,21
10/1/12,West,Darjeeling,Tea,265,132,52
2/1/12,West,Caffe Latte,Espresso,102,34,21
9/1/13,Central,Lemon,Herbal Tea,349,139,60
7/1/12,South,Lemon,Herbal Tea,152,25,60
5/1/13,Central,Decaf Irish Cream,Coffee,67,23,12
2/1/12,West,Decaf Espresso,Espresso,288,89,85
3/1/12,South,Caffe Mocha,Espresso,183,16,48
9/1/13,West,Darjeeling,Tea,139,102,47
8/1/13,East,Darjeeling,Tea,67,19,17
12/1/12,East,Chamomile,Herbal Tea,92,-6,22
9/1/13,West,Caffe Latte,Espresso,73,53,26
10/1/12,South,Lemon,Herbal Tea,114,13,55
2/1/12,Central,Caffe Mocha,Espresso,210,64,32
7/1/12,East,Decaf Espresso,Espresso,117,30,35
7/1/12,West,Decaf Irish Cream,Coffee,80,-8,53
10/1/12,East,Darjeeling,Tea,57,9,19
11/1/12,West,Decaf Espresso,Espresso,124,13,39
10/1/12,West,Darjeeling,Tea,50,0,37
11/1/13,Central,Decaf Espresso,Espresso,584,194,116
8/1/13,South,Caffe Mocha,Espresso,80,22,17
10/1/12,West,Decaf Espresso,Espresso,255,110,51
3/1/12,West,Darjeeling,Tea,106,24,37
2/1/12,Central,Chamomile,Herbal Tea,322,141,40
3/1/13,South,Caffe Latte,Espresso,128,45,33
1/1/13,East,Mint,Herbal Tea,212,66,52
2/1/12,Central,Decaf Irish Cream,Coffee,221,51,32
4/1/12,Central,Caffe Mocha,Espresso,197,107,53
5/1/13,Central,Decaf Irish Cream,Coffee,321,69,63
2/1/13,East,Decaf Irish Cream,Coffee,225,104,51
7/1/12,East,Decaf Irish Cream,Coffee,528,317,133
2/1/12,Central,Caffe Mocha,Espresso,51,23,22
12/1/13,West,Caffe Mocha,Espresso,293,74,58
10/1/12,South,Chamomile,Herbal Tea,299,67,51
1/1/13,Central,Decaf Irish Cream,Coffee,147,50,43
7/1/12,Central,Decaf Irish Cream,Coffee,154,77,62
8/1/13,Central,Lemon,Herbal Tea,83,26,22
8/1/13,West,Decaf Irish Cream,Coffee,85,23,40
11/1/13,South,Decaf Irish Cream,Coffee,85,13,26
9/1/13,Central,Decaf Irish Cream,Coffee,148,34,49
5/1/13,Central,Decaf Irish Cream,Coffee,159,63,51
8/1/13,Central,Darjeeling,Tea,503,184,92
5/1/12,Central,Decaf Irish Cream,Coffee,128,48,42
7/1/12,Central,Decaf Irish Cream,Coffee,202,75,46
9/1/13,Central,Lemon,Herbal Tea,335,171,95
5/1/13,Central,Decaf Irish Cream,Coffee,114,28,23
9/1/12,South,Decaf Irish Cream,Coffee,69,-13,33
1/1/12,Central,Lemon,Herbal Tea,307,100,39
2/1/12,Central,Decaf Irish Cream,Coffee,147,82,50
11/1/13,Central,Decaf Espresso,Espresso,578,209,124
7/1/12,Central,Darjeeling,Tea,265,118,54
1/1/13,West,Chamomile,Herbal Tea,141,50,26
12/1/12,South,Caffe Latte,Espresso,92,4,48
9/1/13,East,Darjeeling,Tea,229,98,53
1/1/12,East,Darjeeling,Tea,122,47,25
2/1/12,East,Decaf Espresso,Espresso,92,48,28
11/1/12,East,Darjeeling,Tea,38,4,25
2/1/12,Central,Decaf Irish Cream,Coffee,202,80,39
1/1/12,South,Decaf Irish Cream,Coffee,272,64,115
12/1/12,Central,Decaf Espresso,Espresso,77,25,19
2/1/12,Central,Darjeeling,Tea,211,92,37
2/1/13,South,Decaf Irish Cream,Coffee,227,130,58
8/1/13,Central,Darjeeling,Tea,69,39,22
3/1/13,West,Darjeeling,Tea,251,127,39
8/1/12,Central,Darjeeling,Tea,83,15,33
3/1/13,East,Decaf Irish Cream,Coffee,590,188,97
8/1/13,Central,Darjeeling,Tea,262,162,36
1/1/13,Central,Decaf Irish Cream,Coffee,233,64,61
2/1/13,West,Decaf Espresso,Espresso,107,45,29
8/1/13,South,Lemon,Herbal Tea,285,111,54
1/1/12,Central,Decaf Irish Cream,Coffee,196,35,56
12/1/13,Central,Lemon,Herbal Tea,137,36,46
11/1/13,Central,Caffe Mocha,Espresso,290,180,39
9/1/12,Central,Decaf Irish Cream,Coffee,148,55,55
3/1/13,West,Darjeeling,Tea,145,66,42
6/1/13,West,Darjeeling,Tea,104,19,40
8/1/12,Central,Decaf Espresso,Espresso,94,21,40
11/1/13,South,Chamomile,Herbal Tea,88,42,24
7/1/12,East,Lemon,Herbal Tea,65,5,48
1/1/12,Central,Decaf Irish Cream,Coffee,188,94,42
7/1/12,West,Decaf Irish Cream,Coffee,64,13,34
10/1/13,West,Decaf Espresso,Espresso,603,181,119
6/1/12,West,Decaf Irish Cream,Coffee,174,2,73
2/1/12,Central,Caffe Mocha,Espresso,112,36,23
1/1/12,East,Decaf Irish Cream,Coffee,187,15,112
9/1/12,West,Decaf Irish Cream,Coffee,92,14,106
10/1/12,Central,Darjeeling,Tea,288,76,37
1/1/13,South,Decaf Irish Cream,Coffee,244,116,56
10/1/12,East,Darjeeling,Tea,147,23,56
5/1/13,Central,Decaf Irish Cream,Coffee,175,49,41
5/1/13,Central,Decaf Irish Cream,Coffee,118,49,38
9/1/13,East,Decaf Espresso,Espresso,160,30,50
3/1/12,South,Caffe Mocha,Espresso,284,39,54
1/1/12,West,Caffe Mocha,Espresso,139,4,46
6/1/12,West,Decaf Irish Cream,Coffee,100,-2,53
3/1/12,East,Decaf Espresso,Espresso,197,128,45
8/1/12,West,Chamomile,Herbal Tea,604,194,120
11/1/12,East,Darjeeling,Tea,82,20,20
10/1/12,Central,Darjeeling,Tea,271,98,46
2/1/12,East,Darjeeling,Tea,185,-44,68
11/1/12,East,Darjeeling,Tea,51,1,19
8/1/12,West,Caffe Mocha,Espresso,54,9,17
2/1/12,West,Decaf Irish Cream,Coffee,182,6,131
1/1/12,East,Decaf Espresso,Espresso,120,18,42
11/1/13,Central,Caffe Mocha,Espresso,528,201,103
8/1/13,Central,Caffe Mocha,Espresso,53,27,10
5/1/12,West,Decaf Espresso,Espresso,184,25,58
5/1/13,East,Decaf Irish Cream,Coffee,484,424,115
8/1/12,Central,Darjeeling,Tea,320,98,51
1/1/12,Central,Amaretto,Coffee,121,39,38
10/1/12,Central,Darjeeling,Tea,183,110,43
2/1/12,Central,Decaf Irish Cream,Coffee,194,86,39
11/1/12,West,Decaf Espresso,Espresso,55,6,36
1/1/13,West,Mint,Herbal Tea,236,97,86
1/1/12,East,Lemon,Herbal Tea,108,-17,64
8/1/13,East,Mint,Herbal Tea,243,137,62
10/1/13,West,Chamomile,Herbal Tea,61,28,18
11/1/13,West,Decaf Espresso,Espresso,142,4,42
2/1/13,Central,Decaf Irish Cream,Coffee,158,50,37
5/1/13,East,Decaf Irish Cream,Coffee,562,617,111
2/1/12,East,Chamomile,Herbal Tea,113,28,25
8/1/12,West,Decaf Irish Cream,Coffee,240,17,61
2/1/12,East,Amaretto,Coffee,210,99,46
8/1/12,West,Decaf Irish Cream,Coffee,231,35,63
8/1/12,West,Lemon,Herbal Tea,80,22,22
2/1/12,West,Decaf Irish Cream,Coffee,120,42,61
7/1/12,South,Lemon,Herbal Tea,66,42,29
3/1/13,Central,Decaf Irish Cream,Coffee,227,188,76
7/1/12,South,Decaf Irish Cream,Coffee,138,31,67
8/1/12,Central,Decaf Irish Cream,Coffee,143,32,41
8/1/12,West,Decaf Irish Cream,Coffee,115,11,25
10/1/12,East,Darjeeling,Tea,112,-5,41
10/1/12,Central,Decaf Irish Cream,Coffee,160,27,46
12/1/13,Central,Chamomile,Herbal Tea,209,-18,75
2/1/12,West,Earl Grey,Tea,116,34,56
9/1/13,East,Darjeeling,Tea,74,33,37
5/1/13,Central,Decaf Irish Cream,Coffee,162,42,41
9/1/13,West,Chamomile,Herbal Tea,306,161,91
1/1/13,South,Chamomile,Herbal Tea,132,61,49
2/1/13,West,Lemon,Herbal Tea,110,15,30
1/1/12,Central,Decaf Irish Cream,Coffee,299,107,125
2/1/12,Central,Chamomile,Herbal Tea,115,-8,41
11/1/12,South,Lemon,Herbal Tea,163,48,30
2/1/12,East,Mint,Herbal Tea,104,10,23
8/1/13,East,Decaf Irish Cream,Coffee,104,33,41
1/1/13,West,Decaf Irish Cream,Coffee,146,67,44
1/1/12,West,Decaf Irish Cream,Coffee,129,33,60
7/1/12,Central,Decaf Irish Cream,Coffee,121,33,51
2/1/13,South,Decaf Irish Cream,Coffee,96,23,41
8/1/12,East,Darjeeling,Tea,61,8,18
5/1/13,South,Chamomile,Herbal Tea,70,44,19
5/1/13,Central,Earl Grey,Tea,85,-24,43
1/1/12,Central,Decaf Irish Cream,Coffee,150,35,51
5/1/13,South,Decaf Irish Cream,Coffee,59,28,17
2/1/13,West,Lemon,Herbal Tea,123,19,44
6/1/12,East,Chamomile,Herbal Tea,100,40,44
7/1/12,West,Darjeeling,Tea,236,106,42
5/1/13,West,Decaf Irish Cream,Coffee,160,22,42
9/1/13,East,Decaf Irish Cream,Coffee,226,32,58
1/1/12,East,Mint,Herbal Tea,85,10,47
10/1/13,South,Decaf Irish Cream,Coffee,333,115,122
10/1/12,East,Chamomile,Herbal Tea,241,101,62
5/1/12,Central,Decaf Irish Cream,Coffee,57,14,34
2/1/13,South,Decaf Irish Cream,Coffee,98,19,38
8/1/12,South,Caffe Latte,Espresso,53,9,14
5/1/13,Central,Decaf Irish Cream,Coffee,97,39,21
2/1/12,South,Lemon,Herbal Tea,223,86,111
10/1/13,Central,Chamomile,Herbal Tea,534,168,112
4/1/12,Central,Darjeeling,Tea,192,55,46
9/1/13,East,Darjeeling,Tea,86,50,18
9/1/12,East,Decaf Irish Cream,Coffee,238,114,137
7/1/12,Central,Lemon,Herbal Tea,124,44,44
1/1/13,South,Decaf Espresso,Espresso,136,25,41
2/1/13,South,Caffe Latte,Espresso,114,5,45
2/1/13,East,Darjeeling,Tea,137,65,40
2/1/12,East,Darjeeling,Tea,109,30,20
3/1/12,South,Decaf Irish Cream,Coffee,187,97,50
9/1/13,West,Decaf Espresso,Espresso,80,46,19
7/1/13,South,Decaf Irish Cream,Coffee,126,35,40
2/1/12,East,Caffe Mocha,Espresso,285,12,121
11/1/13,South,Caffe Mocha,Espresso,113,-13,64
8/1/12,East,Decaf Irish Cream,Coffee,335,31,144
1/1/13,West,Caffe Mocha,Espresso,586,186,133
10/1/12,East,Darjeeling,Tea,96,22,20
12/1/13,South,Chamomile,Herbal Tea,62,15,26
11/1/13,South,Lemon,Herbal Tea,66,-1,21
1/1/12,Central,Decaf Irish Cream,Coffee,202,72,90
8/1/12,Central,Decaf Espresso,Espresso,42,10,13
5/1/13,South,Decaf Irish Cream,Coffee,91,36,27
2/1/12,West,Decaf Irish Cream,Coffee,51,18,21
5/1/12,East,Darjeeling,Tea,175,74,62
9/1/13,Central,Caffe Mocha,Espresso,590,232,99
5/1/13,Central,Mint,Herbal Tea,246,93,37
12/1/12,Central,Caffe Mocha,Espresso,311,129,42
10/1/12,West,Darjeeling,Tea,197,102,59
2/1/13,South,Decaf Irish Cream,Coffee,245,73,99
8/1/12,Central,Decaf Irish Cream,Coffee,29,17,18
1/1/13,Central,Amaretto,Coffee,256,87,34
6/1/12,Central,Decaf Irish Cream,Coffee,143,74,45
5/1/13,West,Chamomile,Herbal Tea,87,32,18
12/1/12,Central,Decaf Espresso,Espresso,163,51,43
8/1/13,West,Decaf Irish Cream,Coffee,85,25,19
3/1/13,Central,Decaf Irish Cream,Coffee,306,154,38
5/1/13,West,Chamomile,Herbal Tea,63,38,16
11/1/13,West,Darjeeling,Tea,124,46,27
8/1/12,West,Lemon,Herbal Tea,603,195,160
5/1/13,West,Decaf Irish Cream,Coffee,72,30,22
5/1/13,Central,Mint,Herbal Tea,219,120,37
8/1/12,East,Decaf Irish Cream,Coffee,337,166,77
1/1/12,South,Colombian,Coffee,454,185,76
1/1/12,Central,Decaf Irish Cream,Coffee,261,237,81
1/1/12,Central,Darjeeling,Tea,183,60,45
1/1/12,East,Darjeeling,Tea,124,41,22
8/1/12,East,Decaf Irish Cream,Coffee,220,110,72
10/1/12,East,Decaf Espresso,Espresso,237,108,51
10/1/12,East,Lemon,Herbal Tea,61,-3,24
3/1/13,Central,Chamomile,Herbal Tea,706,215,112
10/1/13,Central,Caffe Mocha,Espresso,289,138,85
7/1/13,South,Decaf Espresso,Espresso,55,20,32
10/1/12,West,Decaf Espresso,Espresso,203,98,49
4/1/13,West,Caffe Mocha,Espresso,194,65,57
1/1/12,South,Decaf Irish Cream,Coffee,236,73,39
5/1/12,East,Mint,Herbal Tea,216,55,43
11/1/13,South,Caffe Mocha,Espresso,121,-9,70
4/1/12,Central,Decaf Espresso,Espresso,125,29,30
8/1/13,Central,Chamomile,Herbal Tea,67,23,21
12/1/12,Central,Decaf Irish Cream,Coffee,134,24,43
5/1/13,West,Colombian,Coffee,484,220,84
2/1/12,West,Darjeeling,Tea,190,62,46
1/1/12,East,Darjeeling,Tea,126,31,27
5/1/12,West,Mint,Herbal Tea,238,57,45
4/1/12,Central,Decaf Irish Cream,Coffee,189,50,36
1/1/12,South,Decaf Irish Cream,Coffee,82,35,38
2/1/12,West,Caffe Mocha,Espresso,197,51,62
5/1/12,Central,Darjeeling,Tea,157,41,40
12/1/12,West,Decaf Irish Cream,Coffee,121,15,43
9/1/13,East,Lemon,Herbal Tea,162,38,44
9/1/13,East,Decaf Irish Cream,Coffee,215,1,63
8/1/12,West,Darjeeling,Tea,168,20,83
2/1/12,West,Amaretto,Coffee,121,21,56
12/1/12,Central,Decaf Irish Cream,Coffee,61,12,39
10/1/12,Central,Amaretto,Coffee,106,11,46
4/1/13,Central,Chamomile,Herbal Tea,142,-54,50
12/1/12,Central,Lemon,Herbal Tea,136,31,41
5/1/12,West,Chamomile,Herbal Tea,77,16,29
3/1/13,South,Caffe Mocha,Espresso,156,47,85
9/1/13,West,Decaf Espresso,Espresso,100,15,37
1/1/12,South,Caffe Latte,Espresso,111,2,61
9/1/12,East,Decaf Irish Cream,Coffee,271,63,81
2/1/12,Central,Darjeeling,Tea,206,76,43
2/1/12,East,Mint,Herbal Tea,95,-7,30
10/1/13,West,Caffe Latte,Espresso,54,19,17
1/1/12,Central,Darjeeling,Tea,87,35,22
8/1/12,West,Decaf Irish Cream,Coffee,113,53,47
1/1/12,West,Darjeeling,Tea,133,23,45
1/1/13,East,Darjeeling,Tea,110,35,20
5/1/13,Central,Lemon,Herbal Tea,106,37,34
12/1/12,East,Decaf Espresso,Espresso,112,20,22
12/1/12,West,Darjeeling,Tea,234,59,42
6/1/13,Central,Lemon,Herbal Tea,148,40,39
2/1/13,East,Decaf Irish Cream,Coffee,201,115,51
10/1/12,East,Decaf Espresso,Espresso,175,87,57
9/1/12,East,Lemon,Herbal Tea,147,55,76
5/1/13,Central,Mint,Herbal Tea,571,210,104
8/1/12,Central,Caffe Mocha,Espresso,88,34,22
3/1/12,West,Decaf Espresso,Espresso,98,60,34
8/1/13,Central,Decaf Espresso,Espresso,59,33,16
8/1/13,East,Chamomile,Herbal Tea,61,26,23
2/1/12,Central,Lemon,Herbal Tea,172,60,39
5/1/12,East,Darjeeling,Tea,114,27,42
1/1/13,West,Caffe Mocha,Espresso,432,73,79
2/1/12,East,Darjeeling,Tea,59,30,22
8/1/13,Central,Decaf Irish Cream,Coffee,293,54,65
2/1/12,West,Mint,Herbal Tea,216,11,87
8/1/12,West,Decaf Espresso,Espresso,85,5,99
5/1/13,West,Darjeeling,Tea,163,51,45
2/1/12,Central,Darjeeling,Tea,191,75,35
10/1/12,South,Decaf Irish Cream,Coffee,197,53,55
8/1/13,East,Darjeeling,Tea,59,21,14
5/1/13,Central,Decaf Espresso,Espresso,59,44,20
8/1/13,Central,Chamomile,Herbal Tea,88,19,20
2/1/12,Central,Darjeeling,Tea,105,-1,41
11/1/12,Central,Decaf Espresso,Espresso,83,35,19
4/1/13,West,Amaretto,Coffee,140,-37,62
9/1/12,East,Decaf Irish Cream,Coffee,232,-95,131
7/1/12,West,Decaf Irish Cream,Coffee,160,31,55
