"Region","Year","Number_of_Vehicles","Vehicle_Type"
"Jönköpings län","2021",4048,"mopeds class 1"
"Jönköpings län","2022",4066,"mopeds class 1"
"Jönköpings län","2002",17424,"tractors"
"Jönköpings län","2003",17437,"tractors"
"Jönköpings län","2004",17395,"tractors"
"Jönköpings län","2005",17549,"tractors"
"Jönköpings län","2006",17622,"tractors"
"Jönköpings län","2007",17650,"tractors"
"Jönköpings län","2008",17615,"tractors"
"Jönköpings län","2009",17466,"tractors"
"Jönköpings län","2010",17332,"tractors"
"Jönköpings län","2011",17384,"tractors"
"Jönköpings län","2012",17527,"tractors"
"Jönköpings län","2013",17546,"tractors"
"Jönköpings län","2014",17611,"tractors"
"Jönköpings län","2015",17757,"tractors"
"Jönköpings län","2016",17954,"tractors"
"Jönköpings län","2017",18250,"tractors"
"Jönköpings län","2018",18468,"tractors"
"Jönköpings län","2019",18808,"tractors"
"Jönköpings län","2020",19300,"tractors"
"Jönköpings län","2021",20103,"tractors"
"Jönköpings län","2022",20522,"tractors"
"Jönköpings län","2002",0,"snowmobiles"
"Jönköpings län","2003",0,"snowmobiles"
"Jönköpings län","2004",0,"snowmobiles"
"Jönköpings län","2005",0,"snowmobiles"
"Jönköpings län","2006",0,"snowmobiles"
"Jönköpings län","2007",0,"snowmobiles"
"Jönköpings län","2008",0,"snowmobiles"
"Jönköpings län","2009",335,"snowmobiles"
"Jönköpings län","2010",394,"snowmobiles"
"Jönköpings län","2011",402,"snowmobiles"
"Jönköpings län","2012",417,"snowmobiles"
"Jönköpings län","2013",402,"snowmobiles"
"Jönköpings län","2014",407,"snowmobiles"
"Jönköpings län","2015",415,"snowmobiles"
"Jönköpings län","2016",420,"snowmobiles"
"Jönköpings län","2017",433,"snowmobiles"
"Jönköpings län","2018",441,"snowmobiles"
"Jönköpings län","2019",443,"snowmobiles"
"Jönköpings län","2020",466,"snowmobiles"
"Jönköpings län","2021",546,"snowmobiles"
"Jönköpings län","2022",574,"snowmobiles"
"Jönköpings län","2002",0,"all-terrain vehicles"
"Jönköpings län","2003",0,"all-terrain vehicles"
"Jönköpings län","2004",0,"all-terrain vehicles"
"Jönköpings län","2005",0,"all-terrain vehicles"
"Jönköpings län","2006",0,"all-terrain vehicles"
"Jönköpings län","2007",0,"all-terrain vehicles"
"Jönköpings län","2008",0,"all-terrain vehicles"
"Jönköpings län","2009",2205,"all-terrain vehicles"
"Jönköpings län","2010",2423,"all-terrain vehicles"
"Jönköpings län","2011",2650,"all-terrain vehicles"
"Jönköpings län","2012",2924,"all-terrain vehicles"
"Jönköpings län","2013",3181,"all-terrain vehicles"
"Jönköpings län","2014",3373,"all-terrain vehicles"
"Jönköpings län","2015",3658,"all-terrain vehicles"
"Jönköpings län","2016",3866,"all-terrain vehicles"
"Jönköpings län","2017",4044,"all-terrain vehicles"
"Jönköpings län","2018",4212,"all-terrain vehicles"
"Jönköpings län","2019",4315,"all-terrain vehicles"
"Jönköpings län","2020",4404,"all-terrain vehicles"
"Jönköpings län","2021",4478,"all-terrain vehicles"
"Jönköpings län","2022",4538,"all-terrain vehicles"
"Jönköpings län","2002",1231,"cross-country scooters"
"Jönköpings län","2003",1338,"cross-country scooters"
"Jönköpings län","2004",1483,"cross-country scooters"
"Jönköpings län","2005",1739,"cross-country scooters"
"Jönköpings län","2006",1946,"cross-country scooters"
"Jönköpings län","2007",2201,"cross-country scooters"
"Jönköpings län","2008",2397,"cross-country scooters"
"Jönköpings län","2009",18,"cross-country scooters"
"Jönköpings län","2010",20,"cross-country scooters"
"Jönköpings län","2011",16,"cross-country scooters"
"Jönköpings län","2012",22,"cross-country scooters"
"Jönköpings län","2013",22,"cross-country scooters"
"Jönköpings län","2014",25,"cross-country scooters"
"Jönköpings län","2015",24,"cross-country scooters"
"Jönköpings län","2016",23,"cross-country scooters"
"Jönköpings län","2017",18,"cross-country scooters"
"Jönköpings län","2018",22,"cross-country scooters"
"Jönköpings län","2019",25,"cross-country scooters"
"Jönköpings län","2020",25,"cross-country scooters"
"Jönköpings län","2021",24,"cross-country scooters"
"Jönköpings län","2022",22,"cross-country scooters"
"Jönköpings län","2002",35353,"trailers"
"Jönköpings län","2003",36220,"trailers"
"Jönköpings län","2004",37259,"trailers"
"Jönköpings län","2005",38490,"trailers"
"Jönköpings län","2006",38948,"trailers"
"Jönköpings län","2007",40695,"trailers"
"Jönköpings län","2008",41882,"trailers"
"Jönköpings län","2009",42878,"trailers"
"Jönköpings län","2010",43716,"trailers"
"Jönköpings län","2011",44592,"trailers"
"Jönköpings län","2012",45484,"trailers"
"Jönköpings län","2013",46427,"trailers"
"Jönköpings län","2014",47684,"trailers"
"Jönköpings län","2015",49421,"trailers"
"Jönköpings län","2016",50817,"trailers"
"Jönköpings län","2017",52226,"trailers"
"Jönköpings län","2018",53454,"trailers"
"Jönköpings län","2019",54525,"trailers"
"Jönköpings län","2020",56110,"trailers"
"Jönköpings län","2021",58191,"trailers"
"Jönköpings län","2022",59519,"trailers"
"Kronobergs län","2002",85982,"passenger cars"
"Kronobergs län","2003",86313,"passenger cars"
"Kronobergs län","2004",87281,"passenger cars"
"Kronobergs län","2005",88194,"passenger cars"
"Kronobergs län","2006",89293,"passenger cars"
"Kronobergs län","2007",90375,"passenger cars"
"Kronobergs län","2008",90755,"passenger cars"
"Kronobergs län","2009",91374,"passenger cars"
"Kronobergs län","2010",91820,"passenger cars"
"Kronobergs län","2011",93147,"passenger cars"
"Kronobergs län","2012",94246,"passenger cars"
"Kronobergs län","2013",95394,"passenger cars"
"Kronobergs län","2014",97289,"passenger cars"
"Kronobergs län","2015",98639,"passenger cars"
"Kronobergs län","2016",100999,"passenger cars"
"Kronobergs län","2017",102851,"passenger cars"
"Kronobergs län","2018",103520,"passenger cars"
"Kronobergs län","2019",103667,"passenger cars"
"Kronobergs län","2020",104153,"passenger cars"
"Kronobergs län","2021",104477,"passenger cars"
"Kronobergs län","2022",104132,"passenger cars"
"Kronobergs län","2002",7021,"light lorries"
"Kronobergs län","2003",7305,"light lorries"
"Kronobergs län","2004",7670,"light lorries"
"Kronobergs län","2005",7820,"light lorries"
"Kronobergs län","2006",8113,"light lorries"
"Kronobergs län","2007",8468,"light lorries"
"Kronobergs län","2008",8503,"light lorries"
"Kronobergs län","2009",8667,"light lorries"
"Kronobergs län","2010",8924,"light lorries"
"Kronobergs län","2011",9099,"light lorries"
"Kronobergs län","2012",9358,"light lorries"
"Kronobergs län","2013",9478,"light lorries"
"Kronobergs län","2014",9777,"light lorries"
"Kronobergs län","2015",9924,"light lorries"
"Kronobergs län","2016",10328,"light lorries"
"Kronobergs län","2017",10788,"light lorries"
"Kronobergs län","2018",11079,"light lorries"
"Kronobergs län","2019",11576,"light lorries"
"Kronobergs län","2020",11650,"light lorries"
"Kronobergs län","2021",11882,"light lorries"
"Kronobergs län","2022",11880,"light lorries"
"Kronobergs län","2002",1935,"heavy lorries"
"Kronobergs län","2003",1875,"heavy lorries"
"Kronobergs län","2004",1903,"heavy lorries"
"Kronobergs län","2005",1990,"heavy lorries"
"Kronobergs län","2006",2038,"heavy lorries"
"Kronobergs län","2007",2116,"heavy lorries"
"Kronobergs län","2008",2040,"heavy lorries"
"Kronobergs län","2009",1967,"heavy lorries"
"Kronobergs län","2010",1971,"heavy lorries"
"Kronobergs län","2011",1989,"heavy lorries"
"Kronobergs län","2012",1927,"heavy lorries"
"Kronobergs län","2013",1893,"heavy lorries"
"Kronobergs län","2014",2003,"heavy lorries"
"Kronobergs län","2015",1958,"heavy lorries"
"Kronobergs län","2016",2007,"heavy lorries"
"Kronobergs län","2017",2114,"heavy lorries"
"Kronobergs län","2018",2122,"heavy lorries"
"Kronobergs län","2019",2077,"heavy lorries"
"Kronobergs län","2020",2065,"heavy lorries"
"Kronobergs län","2021",2142,"heavy lorries"
"Kronobergs län","2022",2095,"heavy lorries"
"Kronobergs län","2002",207,"towing vehicles"
"Kronobergs län","2003",194,"towing vehicles"
"Kronobergs län","2004",188,"towing vehicles"
"Kronobergs län","2005",197,"towing vehicles"
"Kronobergs län","2006",222,"towing vehicles"
"Kronobergs län","2007",253,"towing vehicles"
"Kronobergs län","2008",232,"towing vehicles"
"Kronobergs län","2009",208,"towing vehicles"
"Kronobergs län","2010",231,"towing vehicles"
"Kronobergs län","2011",235,"towing vehicles"
"Kronobergs län","2012",217,"towing vehicles"
"Kronobergs län","2013",211,"towing vehicles"
"Kronobergs län","2014",214,"towing vehicles"
"Kronobergs län","2015",235,"towing vehicles"
"Kronobergs län","2016",245,"towing vehicles"
"Kronobergs län","2017",283,"towing vehicles"
"Kronobergs län","2018",294,"towing vehicles"
"Kronobergs län","2019",276,"towing vehicles"
"Kronobergs län","2020",284,"towing vehicles"
"Kronobergs län","2021",303,"towing vehicles"
"Kronobergs län","2022",272,"towing vehicles"
"Kronobergs län","2002",344,"buses"
"Kronobergs län","2003",330,"buses"
"Kronobergs län","2004",299,"buses"
"Kronobergs län","2005",280,"buses"
"Kronobergs län","2006",309,"buses"
"Kronobergs län","2007",293,"buses"
"Kronobergs län","2008",294,"buses"
"Kronobergs län","2009",293,"buses"
"Kronobergs län","2010",295,"buses"
"Kronobergs län","2011",322,"buses"
"Kronobergs län","2012",305,"buses"
"Kronobergs län","2013",198,"buses"
"Kronobergs län","2014",191,"buses"
"Kronobergs län","2015",185,"buses"
"Kronobergs län","2016",196,"buses"
"Kronobergs län","2017",204,"buses"
"Kronobergs län","2018",170,"buses"
"Kronobergs län","2019",159,"buses"
"Kronobergs län","2020",118,"buses"
"Kronobergs län","2021",130,"buses"
"Kronobergs län","2022",154,"buses"
"Kronobergs län","2002",4237,"motorcycles"
"Kronobergs län","2003",4638,"motorcycles"
"Kronobergs län","2004",5138,"motorcycles"
"Kronobergs län","2005",5590,"motorcycles"
"Kronobergs län","2006",6011,"motorcycles"
"Kronobergs län","2007",6387,"motorcycles"
"Kronobergs län","2008",6377,"motorcycles"
"Kronobergs län","2009",6419,"motorcycles"
"Kronobergs län","2010",6372,"motorcycles"
"Kronobergs län","2011",6332,"motorcycles"
"Kronobergs län","2012",6300,"motorcycles"
"Kronobergs län","2013",6209,"motorcycles"
"Kronobergs län","2014",6221,"motorcycles"
"Kronobergs län","2015",6220,"motorcycles"
"Kronobergs län","2016",6259,"motorcycles"
"Kronobergs län","2017",6362,"motorcycles"
"Kronobergs län","2018",6405,"motorcycles"
"Kronobergs län","2019",6493,"motorcycles"
"Kronobergs län","2020",6688,"motorcycles"
"Kronobergs län","2021",6850,"motorcycles"
"Kronobergs län","2022",6884,"motorcycles"
"Kronobergs län","2002",421,"mopeds class 1"
"Kronobergs län","2003",642,"mopeds class 1"
"Kronobergs län","2004",973,"mopeds class 1"
"Kronobergs län","2005",1363,"mopeds class 1"
"Kronobergs län","2006",1814,"mopeds class 1"
"Kronobergs län","2007",2071,"mopeds class 1"
"Kronobergs län","2008",2196,"mopeds class 1"
"Kronobergs län","2009",2131,"mopeds class 1"
"Kronobergs län","2010",1795,"mopeds class 1"
"Kronobergs län","2011",1655,"mopeds class 1"
"Kronobergs län","2012",1627,"mopeds class 1"
"Kronobergs län","2013",1586,"mopeds class 1"
"Kronobergs län","2014",1563,"mopeds class 1"
"Kronobergs län","2015",1560,"mopeds class 1"
"Kronobergs län","2016",1562,"mopeds class 1"
"Kronobergs län","2017",1665,"mopeds class 1"
"Kronobergs län","2018",1759,"mopeds class 1"
"Kronobergs län","2019",2036,"mopeds class 1"
"Kronobergs län","2020",2303,"mopeds class 1"
"Kronobergs län","2021",2343,"mopeds class 1"
"Kronobergs län","2022",2378,"mopeds class 1"
"Kronobergs län","2002",11198,"tractors"
"Kronobergs län","2003",11209,"tractors"
"Kronobergs län","2004",11253,"tractors"
"Kronobergs län","2005",11497,"tractors"
"Kronobergs län","2006",11532,"tractors"
"Kronobergs län","2007",11522,"tractors"
"Kronobergs län","2008",11496,"tractors"
"Kronobergs län","2009",11449,"tractors"
"Kronobergs län","2010",11420,"tractors"
"Kronobergs län","2011",11373,"tractors"
"Kronobergs län","2012",11399,"tractors"
"Kronobergs län","2013",11368,"tractors"
"Kronobergs län","2014",11350,"tractors"
"Kronobergs län","2015",11377,"tractors"
"Kronobergs län","2016",11460,"tractors"
"Kronobergs län","2017",11511,"tractors"
"Kronobergs län","2018",11551,"tractors"
"Kronobergs län","2019",11716,"tractors"
"Kronobergs län","2020",11948,"tractors"
"Kronobergs län","2021",12348,"tractors"
"Kronobergs län","2022",12527,"tractors"
"Kronobergs län","2002",0,"snowmobiles"
"Kronobergs län","2003",0,"snowmobiles"
"Kronobergs län","2004",0,"snowmobiles"
"Kronobergs län","2005",0,"snowmobiles"
"Kronobergs län","2006",0,"snowmobiles"
"Kronobergs län","2007",0,"snowmobiles"
"Kronobergs län","2008",0,"snowmobiles"
"Kronobergs län","2009",127,"snowmobiles"
"Kronobergs län","2010",151,"snowmobiles"
"Kronobergs län","2011",167,"snowmobiles"
"Kronobergs län","2012",175,"snowmobiles"
"Kronobergs län","2013",163,"snowmobiles"
"Kronobergs län","2014",163,"snowmobiles"
"Kronobergs län","2015",162,"snowmobiles"
"Kronobergs län","2016",175,"snowmobiles"
"Kronobergs län","2017",175,"snowmobiles"
"Kronobergs län","2018",171,"snowmobiles"
"Kronobergs län","2019",171,"snowmobiles"
"Kronobergs län","2020",182,"snowmobiles"
"Kronobergs län","2021",193,"snowmobiles"
"Kronobergs län","2022",187,"snowmobiles"
"Kronobergs län","2002",0,"all-terrain vehicles"
"Kronobergs län","2003",0,"all-terrain vehicles"
"Kronobergs län","2004",0,"all-terrain vehicles"
"Kronobergs län","2005",0,"all-terrain vehicles"
"Kronobergs län","2006",0,"all-terrain vehicles"
"Kronobergs län","2007",0,"all-terrain vehicles"
"Kronobergs län","2008",0,"all-terrain vehicles"
"Kronobergs län","2009",1334,"all-terrain vehicles"
"Kronobergs län","2010",1432,"all-terrain vehicles"
"Kronobergs län","2011",1546,"all-terrain vehicles"
"Kronobergs län","2012",1667,"all-terrain vehicles"
"Kronobergs län","2013",1798,"all-terrain vehicles"
"Kronobergs län","2014",1933,"all-terrain vehicles"
"Kronobergs län","2015",2042,"all-terrain vehicles"
"Kronobergs län","2016",2143,"all-terrain vehicles"
"Kronobergs län","2017",2238,"all-terrain vehicles"
"Kronobergs län","2018",2279,"all-terrain vehicles"
"Kronobergs län","2019",2341,"all-terrain vehicles"
"Kronobergs län","2020",2433,"all-terrain vehicles"
"Kronobergs län","2021",2520,"all-terrain vehicles"
"Kronobergs län","2022",2518,"all-terrain vehicles"
"Kronobergs län","2002",629,"cross-country scooters"
"Kronobergs län","2003",700,"cross-country scooters"
"Kronobergs län","2004",806,"cross-country scooters"
"Kronobergs län","2005",959,"cross-country scooters"
"Kronobergs län","2006",1125,"cross-country scooters"
"Kronobergs län","2007",1281,"cross-country scooters"
"Kronobergs län","2008",1384,"cross-country scooters"
"Kronobergs län","2009",5,"cross-country scooters"
"Kronobergs län","2010",7,"cross-country scooters"
"Kronobergs län","2011",7,"cross-country scooters"
"Kronobergs län","2012",7,"cross-country scooters"
"Kronobergs län","2013",11,"cross-country scooters"
"Kronobergs län","2014",8,"cross-country scooters"
"Kronobergs län","2015",8,"cross-country scooters"
"Kronobergs län","2016",7,"cross-country scooters"
"Kronobergs län","2017",8,"cross-country scooters"
"Kronobergs län","2018",8,"cross-country scooters"
"Kronobergs län","2019",9,"cross-country scooters"
"Kronobergs län","2020",9,"cross-country scooters"
"Kronobergs län","2021",9,"cross-country scooters"
"Kronobergs län","2022",11,"cross-country scooters"
"Kronobergs län","2002",19808,"trailers"
"Kronobergs län","2003",20396,"trailers"
"Kronobergs län","2004",21097,"trailers"
"Kronobergs län","2005",21978,"trailers"
"Kronobergs län","2006",22856,"trailers"
"Kronobergs län","2007",23946,"trailers"
"Kronobergs län","2008",24720,"trailers"
"Kronobergs län","2009",25213,"trailers"
"Kronobergs län","2010",25573,"trailers"
"Kronobergs län","2011",26200,"trailers"
"Kronobergs län","2012",26763,"trailers"
"Kronobergs län","2013",27339,"trailers"
"Kronobergs län","2014",27808,"trailers"
"Kronobergs län","2015",28511,"trailers"
"Kronobergs län","2016",29265,"trailers"
"Kronobergs län","2017",30247,"trailers"
"Kronobergs län","2018",30962,"trailers"
"Kronobergs län","2019",31493,"trailers"
"Kronobergs län","2020",32394,"trailers"
"Kronobergs län","2021",33271,"trailers"
"Kronobergs län","2022",34017,"trailers"
"Kalmar län","2002",113973,"passenger cars"
"Kalmar län","2003",114776,"passenger cars"
"Kalmar län","2004",115678,"passenger cars"
"Kalmar län","2005",116672,"passenger cars"
"Kalmar län","2006",117593,"passenger cars"
"Kalmar län","2007",118800,"passenger cars"
"Kalmar län","2008",119419,"passenger cars"
"Kalmar län","2009",119800,"passenger cars"
"Kalmar län","2010",120546,"passenger cars"
"Kalmar län","2011",122082,"passenger cars"
"Kalmar län","2012",122986,"passenger cars"
"Kalmar län","2013",124187,"passenger cars"
"Kalmar län","2014",126290,"passenger cars"
"Kalmar län","2015",128253,"passenger cars"
"Kalmar län","2016",132177,"passenger cars"
"Kalmar län","2017",133537,"passenger cars"
"Kalmar län","2018",134329,"passenger cars"
"Kalmar län","2019",134522,"passenger cars"
"Kalmar län","2020",134997,"passenger cars"
"Kalmar län","2021",135603,"passenger cars"
"Kalmar län","2022",134639,"passenger cars"
"Kalmar län","2002",8912,"light lorries"
"Kalmar län","2003",9375,"light lorries"
"Kalmar län","2004",9936,"light lorries"
"Kalmar län","2005",10593,"light lorries"
"Kalmar län","2006",10857,"light lorries"
"Kalmar län","2007",11327,"light lorries"
"Kalmar län","2008",11517,"light lorries"
"Kalmar län","2009",11794,"light lorries"
"Kalmar län","2010",12129,"light lorries"
"Kalmar län","2011",12678,"light lorries"
"Kalmar län","2012",12917,"light lorries"
"Kalmar län","2013",13167,"light lorries"
"Kalmar län","2014",13414,"light lorries"
"Kalmar län","2015",13764,"light lorries"
"Kalmar län","2016",14334,"light lorries"
"Kalmar län","2017",14701,"light lorries"
"Kalmar län","2018",15212,"light lorries"
"Kalmar län","2019",15656,"light lorries"
"Kalmar län","2020",15964,"light lorries"
"Kalmar län","2021",16303,"light lorries"
"Kalmar län","2022",16133,"light lorries"
"Kalmar län","2002",2146,"heavy lorries"
"Kalmar län","2003",2124,"heavy lorries"
"Kalmar län","2004",2111,"heavy lorries"
"Kalmar län","2005",2151,"heavy lorries"
"Kalmar län","2006",2188,"heavy lorries"
"Kalmar län","2007",2200,"heavy lorries"
"Kalmar län","2008",2162,"heavy lorries"
"Kalmar län","2009",2119,"heavy lorries"
"Kalmar län","2010",2134,"heavy lorries"
"Kalmar län","2011",2184,"heavy lorries"
"Kalmar län","2012",2090,"heavy lorries"
"Kalmar län","2013",2100,"heavy lorries"
"Kalmar län","2014",2132,"heavy lorries"
"Kalmar län","2015",2143,"heavy lorries"
"Kalmar län","2016",2183,"heavy lorries"
"Kalmar län","2017",2232,"heavy lorries"
"Kalmar län","2018",2344,"heavy lorries"
"Kalmar län","2019",2286,"heavy lorries"
"Kalmar län","2020",2282,"heavy lorries"
"Kalmar län","2021",2344,"heavy lorries"
"Kalmar län","2022",2374,"heavy lorries"
"Kalmar län","2002",170,"towing vehicles"
"Kalmar län","2003",189,"towing vehicles"
"Kalmar län","2004",206,"towing vehicles"
"Kalmar län","2005",198,"towing vehicles"
"Kalmar län","2006",190,"towing vehicles"
"Kalmar län","2007",197,"towing vehicles"
"Kalmar län","2008",185,"towing vehicles"
"Kalmar län","2009",171,"towing vehicles"
"Kalmar län","2010",178,"towing vehicles"
"Kalmar län","2011",179,"towing vehicles"
"Kalmar län","2012",161,"towing vehicles"
"Kalmar län","2013",172,"towing vehicles"
"Kalmar län","2014",179,"towing vehicles"
"Kalmar län","2015",207,"towing vehicles"
"Kalmar län","2016",218,"towing vehicles"
"Kalmar län","2017",223,"towing vehicles"
"Kalmar län","2018",229,"towing vehicles"
"Kalmar län","2019",234,"towing vehicles"
"Kalmar län","2020",224,"towing vehicles"
"Kalmar län","2021",220,"towing vehicles"
"Kalmar län","2022",255,"towing vehicles"
"Kalmar län","2002",612,"buses"
"Kalmar län","2003",661,"buses"
"Kalmar län","2004",676,"buses"
"Kalmar län","2005",744,"buses"
"Kalmar län","2006",861,"buses"
"Kalmar län","2007",847,"buses"
"Kalmar län","2008",865,"buses"
"Kalmar län","2009",743,"buses"
"Kalmar län","2010",885,"buses"
"Kalmar län","2011",897,"buses"
"Kalmar län","2012",934,"buses"
"Kalmar län","2013",1092,"buses"
"Kalmar län","2014",1170,"buses"
"Kalmar län","2015",1179,"buses"
"Kalmar län","2016",1029,"buses"
"Kalmar län","2017",1420,"buses"
"Kalmar län","2018",1327,"buses"
"Kalmar län","2019",1616,"buses"
"Kalmar län","2020",1230,"buses"
"Kalmar län","2021",1281,"buses"
"Kalmar län","2022",1354,"buses"
"Kalmar län","2002",5877,"motorcycles"
"Kalmar län","2003",6481,"motorcycles"
"Kalmar län","2004",7092,"motorcycles"
"Kalmar län","2005",7709,"motorcycles"
"Kalmar län","2006",8274,"motorcycles"
"Kalmar län","2007",8524,"motorcycles"
"Kalmar län","2008",8882,"motorcycles"
"Kalmar län","2009",9088,"motorcycles"
"Kalmar län","2010",9010,"motorcycles"
"Kalmar län","2011",8999,"motorcycles"
"Kalmar län","2012",9089,"motorcycles"
"Kalmar län","2013",9111,"motorcycles"
"Kalmar län","2014",9257,"motorcycles"
"Kalmar län","2015",9440,"motorcycles"
"Kalmar län","2016",9657,"motorcycles"
"Kalmar län","2017",9577,"motorcycles"
"Kalmar län","2018",9559,"motorcycles"
"Kalmar län","2019",9605,"motorcycles"
"Kalmar län","2020",9895,"motorcycles"
"Kalmar län","2021",10080,"motorcycles"
"Kalmar län","2022",10186,"motorcycles"
"Kalmar län","2002",606,"mopeds class 1"
"Kalmar län","2003",876,"mopeds class 1"
"Kalmar län","2004",1369,"mopeds class 1"
"Kalmar län","2005",1858,"mopeds class 1"
"Kalmar län","2006",2376,"mopeds class 1"
"Kalmar län","2007",2628,"mopeds class 1"
"Kalmar län","2008",2930,"mopeds class 1"
"Kalmar län","2009",2878,"mopeds class 1"
"Kalmar län","2010",2349,"mopeds class 1"
"Kalmar län","2011",2248,"mopeds class 1"
"Kalmar län","2012",2123,"mopeds class 1"
"Kalmar län","2013",1993,"mopeds class 1"
"Kalmar län","2014",2111,"mopeds class 1"
"Kalmar län","2015",2237,"mopeds class 1"
"Kalmar län","2016",2320,"mopeds class 1"
"Kalmar län","2017",2483,"mopeds class 1"
"Kalmar län","2018",2554,"mopeds class 1"
"Kalmar län","2019",2713,"mopeds class 1"
"Kalmar län","2020",3063,"mopeds class 1"
"Kalmar län","2021",3096,"mopeds class 1"
"Kalmar län","2022",3171,"mopeds class 1"
"Kalmar län","2002",14971,"tractors"
"Kalmar län","2003",15018,"tractors"
"Kalmar län","2004",15025,"tractors"
"Kalmar län","2005",15043,"tractors"
"Kalmar län","2006",15071,"tractors"
"Kalmar län","2007",15061,"tractors"
"Kalmar län","2008",14989,"tractors"
"Kalmar län","2009",14953,"tractors"
"Kalmar län","2010",14935,"tractors"
"Kalmar län","2011",14969,"tractors"
"Kalmar län","2012",14976,"tractors"
"Kalmar län","2013",14989,"tractors"
"Kalmar län","2014",14988,"tractors"
"Kalmar län","2015",15074,"tractors"
"Kalmar län","2016",15134,"tractors"
"Kalmar län","2017",15290,"tractors"
"Kalmar län","2018",15427,"tractors"
"Kalmar län","2019",15535,"tractors"
"Kalmar län","2020",15720,"tractors"
"Kalmar län","2021",16115,"tractors"
"Kalmar län","2022",16297,"tractors"
"Kalmar län","2002",0,"snowmobiles"
"Kalmar län","2003",0,"snowmobiles"
"Kalmar län","2004",0,"snowmobiles"
"Kalmar län","2005",0,"snowmobiles"
"Kalmar län","2006",0,"snowmobiles"
"Kalmar län","2007",0,"snowmobiles"
"Kalmar län","2008",0,"snowmobiles"
"Kalmar län","2009",232,"snowmobiles"
"Kalmar län","2010",269,"snowmobiles"
"Kalmar län","2011",297,"snowmobiles"
"Kalmar län","2012",310,"snowmobiles"
"Kalmar län","2013",327,"snowmobiles"
"Kalmar län","2014",324,"snowmobiles"
"Kalmar län","2015",317,"snowmobiles"
"Kalmar län","2016",317,"snowmobiles"
"Kalmar län","2017",305,"snowmobiles"
"Kalmar län","2018",314,"snowmobiles"
"Kalmar län","2019",305,"snowmobiles"
"Kalmar län","2020",302,"snowmobiles"
"Kalmar län","2021",320,"snowmobiles"
"Kalmar län","2022",324,"snowmobiles"
"Kalmar län","2002",0,"all-terrain vehicles"
"Kalmar län","2003",0,"all-terrain vehicles"
"Kalmar län","2004",0,"all-terrain vehicles"
"Kalmar län","2005",0,"all-terrain vehicles"
"Kalmar län","2006",0,"all-terrain vehicles"
"Kalmar län","2007",0,"all-terrain vehicles"
"Kalmar län","2008",0,"all-terrain vehicles"
"Kalmar län","2009",1195,"all-terrain vehicles"
"Kalmar län","2010",1334,"all-terrain vehicles"
"Kalmar län","2011",1480,"all-terrain vehicles"
"Kalmar län","2012",1620,"all-terrain vehicles"
"Kalmar län","2013",1763,"all-terrain vehicles"
"Kalmar län","2014",1898,"all-terrain vehicles"
"Kalmar län","2015",2031,"all-terrain vehicles"
"Kalmar län","2016",2121,"all-terrain vehicles"
"Kalmar län","2017",2236,"all-terrain vehicles"
"Kalmar län","2018",2295,"all-terrain vehicles"
"Kalmar län","2019",2376,"all-terrain vehicles"
"Kalmar län","2020",2438,"all-terrain vehicles"
"Kalmar län","2021",2456,"all-terrain vehicles"
"Kalmar län","2022",2479,"all-terrain vehicles"
"Kalmar län","2002",670,"cross-country scooters"
"Kalmar län","2003",737,"cross-country scooters"
"Kalmar län","2004",840,"cross-country scooters"
"Kalmar län","2005",960,"cross-country scooters"
"Kalmar län","2006",1120,"cross-country scooters"
"Kalmar län","2007",1243,"cross-country scooters"
"Kalmar län","2008",1336,"cross-country scooters"
"Kalmar län","2009",13,"cross-country scooters"
"Kalmar län","2010",17,"cross-country scooters"
"Kalmar län","2011",18,"cross-country scooters"
"Kalmar län","2012",21,"cross-country scooters"
"Kalmar län","2013",22,"cross-country scooters"
"Kalmar län","2014",23,"cross-country scooters"
"Kalmar län","2015",21,"cross-country scooters"
"Kalmar län","2016",21,"cross-country scooters"
"Kalmar län","2017",18,"cross-country scooters"
"Kalmar län","2018",16,"cross-country scooters"
"Kalmar län","2019",14,"cross-country scooters"
"Kalmar län","2020",12,"cross-country scooters"
"Kalmar län","2021",11,"cross-country scooters"
"Kalmar län","2022",13,"cross-country scooters"
"Kalmar län","2002",23532,"trailers"
"Kalmar län","2003",24265,"trailers"
"Kalmar län","2004",25117,"trailers"
"Kalmar län","2005",26189,"trailers"
"Kalmar län","2006",27000,"trailers"
"Kalmar län","2007",28067,"trailers"
"Kalmar län","2008",29103,"trailers"
"Kalmar län","2009",29948,"trailers"
"Kalmar län","2010",30821,"trailers"
"Kalmar län","2011",31798,"trailers"
"Kalmar län","2012",32448,"trailers"
"Kalmar län","2013",33165,"trailers"
"Kalmar län","2014",34198,"trailers"
"Kalmar län","2015",35318,"trailers"
"Kalmar län","2016",36538,"trailers"
"Kalmar län","2017",37574,"trailers"
"Kalmar län","2018",38718,"trailers"
"Kalmar län","2019",39684,"trailers"
"Kalmar län","2020",40776,"trailers"
"Kalmar län","2021",41856,"trailers"
"Kalmar län","2022",42505,"trailers"
"Gotlands län","2002",30413,"passenger cars"
"Gotlands län","2003",30872,"passenger cars"
"Gotlands län","2004",31207,"passenger cars"
"Gotlands län","2005",31359,"passenger cars"
"Gotlands län","2006",31627,"passenger cars"
"Gotlands län","2007",31876,"passenger cars"
"Gotlands län","2008",31978,"passenger cars"
"Gotlands län","2009",32399,"passenger cars"
